date,average
13/09/2024,10.75
12/09/2024,8.25
11/09/2024,11.00
10/09/2024,14.25
09/09/2024,15.50
08/09/2024,23.50
07/09/2024,29.50
06/09/2024,34.50
05/09/2024,25.25
04/09/2024,15.25
03/09/2024,16.25
02/09/2024,23.75
01/09/2024,24.75
31/08/2024,25.75
30/08/2024,24.25
29/08/2024,21.75
28/08/2024,21.25
27/08/2024,26.75
26/08/2024,26.25
25/08/2024,19.50
24/08/2024,14.50
23/08/2024,15.50
22/08/2024,14.75
21/08/2024,15.75
20/08/2024,19.50
19/08/2024,26.50
18/08/2024,25.75
17/08/2024,18.25
16/08/2024,15.50
15/08/2024,15.00
14/08/2024,13.75
13/08/2024,15.50
12/08/2024,19.50
11/08/2024,19.75
10/08/2024,19.25
09/08/2024,14.00
08/08/2024,14.75
07/08/2024,15.75
06/08/2024,14.25
05/08/2024,16.00
04/08/2024,15.50
03/08/2024,17.00
02/08/2024,20.00
01/08/2024,23.50
31/07/2024,23.75
30/07/2024,20.75
29/07/2024,19.25
28/07/2024,22.75
27/07/2024,16.50
26/07/2024,14.25
25/07/2024,12.50
24/07/2024,17.25
23/07/2024,15.25
22/07/2024,14.00
21/07/2024,10.75
20/07/2024,13.00
19/07/2024,18.25
18/07/2024,26.50
17/07/2024,21.25
16/07/2024,20.75
15/07/2024,17.25
14/07/2024,13.00
13/07/2024,9.25
12/07/2024,9.50
11/07/2024,9.00
10/07/2024,10.75
09/07/2024,12.75
08/07/2024,11.25
07/07/2024,14.00
06/07/2024,13.00
05/07/2024,14.25
04/07/2024,15.50
03/07/2024,16.25
02/07/2024,14.50
01/07/2024,14.50
30/06/2024,14.75
29/06/2024,12.75
28/06/2024,13.25
27/06/2024,20.25
26/06/2024,27.25
25/06/2024,27.50
24/06/2024,20.50
23/06/2024,15.25
22/06/2024,15.75
21/06/2024,18.00
20/06/2024,22.00
19/06/2024,19.75
18/06/2024,14.75
17/06/2024,13.25
16/06/2024,14.00
15/06/2024,14.00
14/06/2024,14.25
13/06/2024,19.50
12/06/2024,16.75
11/06/2024,13.50
10/06/2024,11.50
09/06/2024,12.75
08/06/2024,15.00
07/06/2024,18.50
06/06/2024,22.25
05/06/2024,18.25
04/06/2024,16.75
03/06/2024,15.00
02/06/2024,20.00
01/06/2024,22.25
31/05/2024,25.25
30/05/2024,16.25
29/05/2024,13.50
28/05/2024,15.25
27/05/2024,13.75
26/05/2024,19.25
25/05/2024,21.50
24/05/2024,16.75
23/05/2024,10.25
22/05/2024,14.00
21/05/2024,20.25
20/05/2024,19.50
19/05/2024,26.75
18/05/2024,30.75
17/05/2024,30.25
16/05/2024,26.75
15/05/2024,20.25
14/05/2024,24.50
13/05/2024,28.25
12/05/2024,32.25
11/05/2024,30.50
10/05/2024,28.25
09/05/2024,29.50
08/05/2024,27.25
07/05/2024,25.50
06/05/2024,21.00
05/05/2024,23.25
04/05/2024,25.25
03/05/2024,27.50
02/05/2024,34.25
01/05/2024,31.75
30/04/2024,21.00
29/04/2024,18.75
28/04/2024,17.00
27/04/2024,16.75
26/04/2024,15.50
25/04/2024,17.75
24/04/2024,19.75
23/04/2024,20.75
22/04/2024,21.00
21/04/2024,17.25
20/04/2024,16.75
19/04/2024,28.00
18/04/2024,14.75
17/04/2024,14.00
16/04/2024,13.25
15/04/2024,15.25
14/04/2024,17.00
13/04/2024,17.75
12/04/2024,16.75
11/04/2024,16.25
10/04/2024,15.25
09/04/2024,18.75
08/04/2024,18.50
07/04/2024,17.25
06/04/2024,18.75
05/04/2024,20.25
04/04/2024,15.25
03/04/2024,16.50
02/04/2024,22.75
01/04/2024,18.00
31/03/2024,24.75
30/03/2024,17.25
29/03/2024,16.00
28/03/2024,24.25
27/03/2024,28.00
26/03/2024,24.00
25/03/2024,17.75
24/03/2024,17.25
23/03/2024,20.75
22/03/2024,26.25
21/03/2024,20.75
20/03/2024,14.75
19/03/2024,16.50
18/03/2024,22.25
17/03/2024,18.25
16/03/2024,16.00
15/03/2024,12.25
14/03/2024,12.25
13/03/2024,27.50
12/03/2024,34.50
11/03/2024,39.25
10/03/2024,41.50
09/03/2024,38.50
08/03/2024,38.00
07/03/2024,32.25
